,Rating,Lang,Type,Country,Date,Helpful,translated
680,5,en,Verified,Canada,4/1/2020,,"Arrived in time, exactly as expected and as the picture. Very nice melodies, not too loud. Belly goes up and down, very calming."
690,5,en,Verified,Canada,29/01/2020,,Thank you
700,5,en,Verified,Canada,26/11/2020,,AAA+++
717,5,en,Verified,Canada,23/06/2020,,So cute and cuddely. Baby adores it.
724,5,en,Verified,Germany,15/03/2020,,Super
728,5,en,Verified,Canada,14/01/2020,,This is the sweetest thing and my daughter loves it! Its soft and the music is lovely. It is a really comforting toy!
741,5,en,Verified,Canada,27/12/2020,,Super
781,5,en,Verified,Canada,5/1/2020,,Perfect
798,5,en,Verified,Canada,1/12/2020,,They loved the gift
828,5,en,Verified,Germany,14/10/2020,,Top
830,5,en,Verified,Canada,26/02/2021,,My daughter tells me my new grandaughter loves this stuffed toy
861,5,en,Verified,Canada,25/09/2020,,My granddaughter adores this otter. It helps her to go to sleep every night.
911,3,en,Verified,Australia,22/01/2021,,"Broken in 1 week, vibrant function not working"
930,5,en,Verified,Germany,2/12/2019,,Super
931,5,en,Verified,Canada,4/1/2020,,This product was exactly what I thought it would be. No disappointments!
961,5,en,Verified,Canada,26/03/2020,,My son loved it.
975,5,en,Verified,Germany,4/1/2020,,Perfect gift for all new moms
995,5,en,Verified,Australia,12/12/2019,,"Very cute toy for my new granddaughter ...Soothing ,relaxing"
1010,5,en,Verified,Australia,10/7/2020,,Brought this for my grandson and he loves it so does his older sister
1020,5,en,Verified,Germany,2/1/2021,,Works nicely and good noise level control.
1035,5,en,Verified,Canada,26/05/2020,,Super!
1041,5,en,Verified,Australia,14/02/2021,,Exactly as described and fast delivery very happy 😊
1056,5,en,Verified,Australia,29/10/2020,,New born babies should have . We love it
1102,5,en,Verified,Germany,8/12/2019,,Top
1119,5,en,Verified,Germany,20/11/2019,,super.
1126,5,en,Verified,Germany,22/01/2020,,Super
1137,5,en,Verified,Australia,28/09/2019,,Loveee it
1141,5,en,Verified,Canada,15/04/2020,,THE BEST
1166,5,en,Verified,Germany,20/01/2020,,Super!
1170,5,en,Verified,Germany,14/10/2020,,Super!
1319,2,en,Verified,United States,1/10/2019,69,"The button to activate this is on the otter's tummy and very sensitive.  So, if my upset baby activates it, it turns itself off IMMEDIATELY at the first ""breath"" it takes because the tummy expands and presses the button against the cuddling baby.  If I turn it on and keep it away from him, it's a miracle. But he can never touch it or go near it or it will turn off IMMEDIATELY.  I have to watch these cry/calm/cry/calm dramas over the baby monitor and it's infuriating.  The Fisher Price ""Snug a puppy"" stays on for 15 minutes once pressed.  I thought it was annoying at first, ""Why can't I turn this thing off!?"" But now I get it.  This thing could be revolutionary but it amounts to junk because the very sensitive button is smack dab in the center of the glowing and moving tummy which, of course, is where any baby or toddler will want to touch and cuddle immediately.  Please make a new version that stays on!!!!!! And contact me or send it to me!!!!!!!! This thing is amazing when I play ""keep away"" with it but totally impossible to use for the purpose of self soothing.  Just mom initiated and overseen soothing. Not good for babies who can move on their own."
1379,5,en,Verified,United States,15/03/2020,23,"Attention: Could contain traces of German translation and self-mockery.

Oh my god. This is the cutest soother of my toy collection. And it is huge!
I'm a German toy collector and allthough I'm blind I immedeately fell in love with this otter. YouTube and technology makes it possible. I just had to have it! Unfortunately it didn't last long. To tell you the truth... Not even a year later and the motor is wornout so strong that it sounds like a mixture of a chainsaw and a drone. Not really soothing. And no joke, I couldn't find it anywhere online or in stores. But here!
The otter arrived earlier as planned and now it is guarded like the apple of my eye.
And yes I know that I'm actually a grown woman... But hey, think positive. It doesn't just help babies drifting off to dreamland. Anyway, I have to leave and sit myself in the garden to enjoy this calming music again. And again. And again. And... *snore*
(Okay, all jokes aside... I hope my grammar is not too bad.)"
1380,2,en,Verified,United States,2/1/2020,16,"To be honest I don't get all the excitement about this fuzz ball. I personally think its waaaay overpriced for the few functions that it has! A very good substitute toy for this one is an elephant which has star projector/music/heart beat from Walmart for $15, I got as baby shower gift which is much more on demand than this toy. I only like the music verity, its very soft and beautiful, but I hate that it has the light that you can't jut switch off, it turns on w/ music. Or you can't disable to ""breathing"". There is a very stiff mechanical device inside the body so you gotta watch this toy dropping on the floor. Would have returned it immediately if we haven't recycled the packaging box. We opened allot of baby toys that day and all the wrapping was placed in trash can. I ended up just re-gifting this toy to another person as is who had triplets."
1381,3,en,Verified,United States,14/02/2020,11,"I don't normally write reviews, but for this I will. Its cute, very soft. The night light and music is great. But the motor in it that makes it appear to be ""breathing"" which is the soothe factor for babies, honestly its pretty noisy....for $40. Kind of has a annoying hum to it. I think if you're going to pay 40$ for something like this it should be dead silent. Furthermore when I turned it on, it squeaked every time the belly went up, it was annoying. I actually took it apart, opened up the electronic box and found that the up and down part of the mechanism, is operated by a motorized wheel and and a tiny rubber belt. Not kidding, I WD-40'd that rubber belt. It took 2 hours to carefully put it all back together. It has to line up perfectly for the moving parts to work perfectly. There is no more squeak, thank god. The motor still has a quiet hum to it. Honestly my kid likes to turn it on an off and could care less to cuddle it. More so its a 40$ otter that entertains her and holds her pacifiers for her at night. Nice idea, but kinda overpriced."
1382,5,en,Verified,United States,2/6/2019,19,This little cutie is super soft and has a lot of functions. I thought it would be a hard toy since it does the fake breathing and would feel more like a robot toy but it’s actually soft and airy. The breathing sound and womb sounds are my babies favorite so far. I would definitely recommend this !
1383,5,en,Verified,United States,8/6/2019,11,"So, I saw this and then decided to buy it.  This toy soothes your newborn, and sometimes it provides the feeling of someone sleeping next to me baby, it plays music, has a heartbeat feature and it has this little fan!  My newborn likes or does not know it exists all I know is that he sleeps good and longer with it.  Not bad for the money"
1384,5,en,Verified,United States,30/07/2019,12,Our newborn loves this otter; she watches it until she falls asleep and if we don’t turn it on she will make a sound to let us know she wants it on. She has slept great with this otter; she prefers the white noise option with the light and breathing motion. I would recommend this soother to anyone! We are contemplating buying a second one just in case something were to happen to the one we have.
1385,3,en,Verified,United States,18/10/2020,2,"I wanted to love this but it’s too much maintenance to utilize. Definitely something parents can wait to buy when the baby is 8 months or older. I wish I didn’t have to open the back of the sloth every time I want to utilize everything the sloth does. I would also like it to be more stuffed/squishy to hold, it fall short on the cuddling factor. The box inside in huge and obviously hard. The sound and vibration has good payoff but user friendly it’s not unless you’re content just pushing the tummy to do 1 thing versus going to the back and opening it up over and over to utilize everything it can do. Btw the back opening is made of velcro. I think it’s over priced for the payoff factor of enjoyment that  is lacking with this toy to sooth a baby or toddler."
1386,5,en,Verified,United States,8/1/2021,2,"I purchased this late one sleepless night while I tried to get her sleep on her own in her bed. She didn't take to it until she was about 8 months old, but now it's MUST HAVE. She loves it. She'll gently touched the ""breathing"" stomach and lay there watching the glowing fade in and out. She likes the music best. What I love; all the options. There's heartbeat, swooshing sounds, music and you can control the loudness too. You could have no light on or no breathing if you wanted. It's fantastic. The only complaint I have is that if she pushes on the tummy or cuddles it too hard, it turns off. So, until she learns to push it back on...well, that's up to Mommy and Daddy. Overall though; highly recommend."
1387,2,en,Verified,United States,7/2/2021,1,"I was recommended to buy this by a family member who had purchased it for her kids.

Prior to purchasing I did read some concerning reviews and was a little skeptical as it’s pretty pricey but wanted to give it a chance. The toy is extremely soft and easy to set up to use. The functions allow you to choose music, a light which you can dim or brighten and breathing function. We used this combo for my 1 yr old and she would fall asleep watching it.

Less than a month later sadly I have to return it as the belly doesn’t move up and down for more than 10 seconds it’s also cuts off the music and light before I even leave her room. Pressing the belly back in I can hear a loud clicking sound that wasn’t there when initially turning it on. I hope this isn’t a ongoing issue as I’m unsure if I want to order another one."
1388,5,en,Verified,United States,11/8/2020,1,"This is a very sweet gift to comfort little ones. I had never seen the Soothe and Snuggle Otter before, but I bought it off of a baby registry and it is very very cute. It plays sounds/music, it has a soft light, and it even has a breathing motion which makes his belly move up and down. It also has controls which let you decide what you want on or off. The recipient loves it.Note: For safety reasons, do not leave it in the crib with the baby unattended, and when the baby is sleeping it should be removed from the crib altogether."
1389,4,en,Verified,United States,27/08/2020,1,He’s much bigger than I originally thought he would be! My daughter seems to like it ok but I’m not sure he was worth the amount of money. I’ve already had to replace the batteries and she’s only two months old - I don’t even use it every night! The snoring is a little creepy with the stomach movement but my daughter likes the heartbeat sound with the lighted belly most. I think if the price point was a little lower it would definitely be worth it.
1390,5,en,Verified,United States,13/02/2020,3,"A little expensive but my 1 yr old daughter loves it. It helped with her separation anxiety at this stage when going to bed. I like that you can choose which features are played together. You can have it breath with light on, breath with light off, don't breath but play music with light on, etc etc. Totally customizable in that sense.."
1391,5,en,Verified,United States,16/07/2020,1,"I bought this for my 6 yo who struggles with nightmares but after unboxing it I feel like I should buy one for each of my three kids and one for myself! It is unbelievably soothing and soft and quiet and adorable. It actually kind of feels like I’m holding a sleeping baby otter. The light is very soft, as is the music volume and pacing. So calming. Definitely good for not just babies."
1392,5,en,Verified,United States,13/04/2020,1,"My son loves his otter. He started using it at a week old and is 5 weeks now. We use it every night, it soothes him right down. He loves music and it has a very calming melody.  We can easily take it wherever we go. It's very soft! Love the breathing feature and that you can remove the otter part and throw it into the wash, we've had a few close calls so that's a bonus."
1393,4,en,Verified,United States,25/04/2020,1,"My kids love this and it's a great idea, but the motor is noisy. Which is annoying considering how it's kind of expensive! I wish they would just go all the way with this lovely thing and take the time to put in a quieter device for the stomach movement.My kids still use it every night and I love the soft lullabies. Not at all creepy or loud or obnoxious sounding. very nice, soft music."
1394,2,en,Verified,United States,24/03/2020,1,I bought this product months ago for when my son was born. The otter is very cute and I was excited to use it. However I just started using it and it turns on and shuts off after 15 seconds and gets stuck in the up position and won’t go back down and the music turns off. I really wanted to love this product.  It is so cute and soft but not worth the money. I returned the product
1395,4,en,Verified,United States,15/11/2020,,"Good product over all but little pricey. You can find a similar toy for about 25$. We had it now for about a month. The toy uses up the batteries quickly so make sure to stock up on them. My favorite sound is the white noise which soothes our colicky baby. The toy is pretty large, has volume control which is perfect. Good variety of sounds. The moving belly seems to be unnecessary and doesn’t make a difference for our baby. The glow feature is great. The material is soft. I gave it 4 stars because while the toy is awesome, I wish it had a sound self activation feature  for when baby cries and you can’t turn it on. I hope the manufacturer considers this. Our baby loves this toy and we take it with us everywhere."
1396,2,en,Verified,United States,22/01/2021,,"The sound machine and the breathing of the otter was great and would help my son fall asleep. It worked for about a week and then when you pushed the button it would make a noise for a couple seconds then stop. Agree with other reviews, that sometimes the “breathing” mode would make a loud sound but it wasn’t consistent. Unfortunately it seems this toy is not reliable in performing as described so hard to recommend this to anyone especially at its price point."
1397,5,en,Verified,United States,2/9/2019,2,"A bit pricey, but this was the only thing that helped put our baby to sleep for the first few weeks after he was home."
1398,3,en,Verified,United States,14/11/2020,,This feels nice and soft. My son didn’t like the music or the weight. He likes our dogs ikea lion better. I ended up taking the battery pack out. This is a very expensive night light that I had to take out of my son’s crib because he was stepping on the otter to lean over. I’ve removed the pack and he plays with as a stuffed animal.
1399,5,en,Verified,United States,28/08/2019,3,Omg this thing is so cute. I bought it as a gift for someone and they loved it. My daughter wasn’t pleased when she discovered it wasn’t for her! I may need to buy another based on the cute factor alone!
1400,1,en,Verified,United States,7/2/2020,3,"This thing was such a disappointment! It turns off after about a second of playing. It worked well a couple times in the beginning so I was hopeful it was just a glitch because I didn’t change the battery’s from when it was in its packaging, but no. It makes no difference. Waste of money"
1401,4,en,Verified,United States,22/11/2019,,"My little one loves this little otter, she immediately grabbed it and snuggled up with it! She’s currently 5 months. I love the breathing motion, my only gripe is that it’s in the front on the belly so if she squishes it too hard she turns it off. Then I have to press it to turn it back on again. Other than that, great product!"
1402,5,en,Verified,United States,4/1/2021,,"I love this little otter. It's adorable, soft, and the sound machine in it is great. It has a lot of configuration options and our 3 month old likes it. I usually leave it on the womb sounds while she naps which helps her to sleep, in my opinion, better. The sound goes for about 30 minutes which is great."
1403,5,en,Verified,United States,14/07/2020,1,"This is a baby shower gift for my soon to be born great grand baby! So cute, cuddly and has a heart beat, breathing, and 30 minutes of lullabies. Couldn’t be more pleased."
1404,3,en,Verified,United States,9/12/2019,,"Works well enough, and I like the features, but the ""breathing"" tiny makes a lot of mechanical noise and has started to squeak after about 6 weeks of use. It also gets stuck sometimes, and I have to force it out of its jammed position, so I wonder if it's going to break at some point."
1405,2,en,Verified,United States,23/07/2020,1,"It’s super cute and this would be great, but the motor makes this loud squeaking sound and has the very first time I turned it on. Changed the batteries and that didn’t work. For the amount of money it was, I’m pretty disappointed."
1406,3,en,Verified,United States,24/02/2020,,"I love the otter my granddaughter had so I bought one on Amazon for my other granddaughter. I was excited to give it to her, but when it plays the expanding bag in the belly which mo es to imitate breathing makes a popping sound when it is in motion. The sound takes away from the soothing that the item is intended for.  I'm disappointed."
1407,5,en,Verified,United States,22/01/2021,,"It’s like a snuggle buddy! I practice infant safe sleeping, but before putting my son to bed, I turn on the otter. I will put lullabies on, the white noise, or sometimes the heartbeat. My infant son likes to be held to go to sleep, which sometimes can take awhile. As a single mother who had to work in the am, that is sometimes difficult. But by placing the otter next to him, with his pack, he starts to get sleepy and then I can eventually move him to his bassinet and let momma get some sleep! The quality is great, better than I’ve seen on the other products like this! I will be recommending this to other new moms!"
1408,5,en,Verified,United States,15/09/2019,1,"The otter is so cute and is very soft. However, it’s not as snuggly as you might think. I understand there needs to be hard parts to make the otter work. The top is soft though and my 5 month old loves it. Since we bought it he sleeps a lot better. I would definitely recommend it."
1409,5,en,Verified,United States,14/06/2019,6,My 2 month old loves this otter almost as much as I do. The lullabies and breathing motions are perfect and soothing.
1410,5,en,Verified,United States,16/12/2020,,We use this as the “sound machine” for our newborn and it’s amazing! As a professional musician myself I recognize all the songs that are being played and I love how most of the songs are classical themed music! The breathing setting helps calm him down and if he does happen to wake up the glow of the stomach will distract him and he will fall back asleep. This was a great purchase. It is well worth it!The otter itself is soft and the different fabric on the ears is really silky. I highly recommend this if you’re thinking about purchasing it as a gift for somebody or for your own baby.
1411,3,en,Verified,United States,22/11/2019,,"It is very cute and the light is nice and soft. The sounds are ok but dont play long enough. The ""breathing"" feature has a weird mechanical sound to it so didnt use it. I was excited to get this, but ultimately would not recommend"
1412,3,en,Verified,United States,8/7/2020,,"I returned this. I got it originally for the features and wondered if it’d be a mistake since the outside is not removable and washable. I was so surprised that it was not even for snuggling, it was so hard! For the money especially, I couldn’t understand why this child’s sleeping lovey was not in the least bit “snuggly” advertised."
1413,4,en,Verified,United States,9/4/2020,,I love the little otter...worked well to help baby sleep but after 4 months with minimal use the belly stopped working and the music would play for about 2 seconds and shut off. I love the music though and it will still play by pressing the play button in the back.
1414,5,en,Verified,United States,24/10/2020,,I bought this as a baby present.  I had to play with it a little before I gave it away though. It's so soft.  And such a cute little otter.  The music is soft and comforting. The button in the tummy lights up with a soft glow. And it breathes!  Such a cute concept!
1415,4,en,Verified,United States,2/1/2020,1,I’ve been eyeing this soother since I got the notification that Fischer price was making it. My little one loves it so much! Only downside is that the settings are easily changed through the fabric in the back. Still adorable though!
1416,5,en,Verified,United States,28/12/2020,,"Excellent quality baby soother. It’s soft and light, just the right size snuggle buddy for my 4 month old. The volume is perfect, not too loud, and the quality of sound is smooth and soothing. I just love it. It’s so cute, and it does it’s job well."
1417,5,en,Verified,United States,28/09/2020,,My 10 month old really started fighting bedtime recently. I decided to get this over the glow warm or bs soothing animals and I'm glad I did! This does so much and you can control what is played as well as the volume.. It runs for a good amount of time too. It's helped me and my little guy when its comes to bedtime. Has even put my boyfriend to sleep. We love this adorable little sea otter! Id completely recommend this!!
1418,5,en,Verified,United States,16/09/2020,,This otter really does breath! Its a little hard but overall quality is great. The music it plays is soothing and plays for a long time so you don't have to get up every five minutes to turn it back on! It has a little glow light on its belly and my 9 month old seems to love it! Definitely too big for a newborn- 6 month old but worth it to sleep train your baby!
1419,5,en,Verified,United States,24/12/2020,,"I was wondering if it can soothe my baby girl's tension before sleep, so I play the music and found my baby fall asleep quickly when hearing the music. The volume can be adjusted easily and I can switch o white noise mode from the buttons on the otter's back. Although the price is kind of higher than my budget, it works great and is so cute that my baby and I feel joyful when the otter is playing music."
1420,2,en,Verified,United States,14/02/2020,,"Honestly I returned this. The reviews were great but for 40 bucks, this is like any other toy that makes sounds to my baby. It didn’t phase him and like what other reviewers said, if you lightly touch the stomach it stops playing music and stuff so it just sat next to him... eh"
1421,3,en,Verified,United States,1/2/2020,,"The outside of the product is soft, but is otherwise very hard. The price did not seem to match the overall quality of the product when compared to other products that are similar."
1422,5,en,Verified,United States,16/02/2020,,She absolutely adores him. At a year old she can’t push his light/ button on her own but she knows where it’s at and loves watching him breath and play music.  Super soft and cuddly.
1423,5,en,Verified,United States,17/12/2019,,After our sons last sleep buddy gave out on us I searched for something similar and this is the closest I found. He seems to enjoy it. It definitely has a mechanical sound when the breathing feature is engaged but it doesn’t bother us at all.
1424,5,en,Verified,United States,18/10/2019,1,"I got this for my 2 mo old niece, she loves it so much that my sister and her husband have already had to replace the batteries. Mama Otter as they call it makes it easier for her to fall asleep and makes it easier for my sister to feel comfortable leaving her daughter with her grandparents."
1425,5,en,Verified,United States,8/11/2019,,"My children love this. Easy to change settings, very cuddly head. My 3 year old is always telling me to snuggle it to my face. Has helped the baby fall asleep better in his crib by providing gentle noise and light."
1426,1,en,Verified,United States,21/02/2021,,"I am so disappointed in this. I had it on my registry and loved how cute it looked. The sound functions are ok, but the breathing motion is not as expected. It makes a loud clicking noise and is not snuggly at all. It wakes baby up and is not something they can cuddle with."
1427,1,en,Verified,United States,22/01/2021,,This stopped working after a year. Don’t bother contacting the manufacturer. They suggested that I purchase a new one without trying to accommodate.
1428,4,en,Verified,United States,14/12/2019,,"This is a very sweet plush toy. The music is quite relaxing as is the breathing mechanism. My only compliant is that the switch off push button is quite sensitive so much so that my 7 month old turns it off without intending to. Then I have to turn it back on, which interrupts our bedtime routine. But we still love it!"
1429,1,en,Verified,United States,7/12/2020,2,Didn’t work properly. So much money for nothing good.
1430,4,en,Verified,United States,19/02/2020,,This has been helpful for car rides to soothe baby girl. I just wish the light on it was a bit brighter to give a nightlight effect for the car.
1431,5,en,Verified,United States,18/12/2019,,Use for infant. A little confusing at first but she really loves the multiple functions and needs them to soothe when she is fussy.  A nice safe alternative when they have to lay in bed.
1432,5,en,Verified,United States,14/11/2019,,"Baby loves this little otter and is comforted by its breathing, he is fascinated by the low light and I am sure It helps him feel secure when he wakes up in the night.My daughter thinks it is wonderful."
1433,5,en,Verified,United States,17/09/2020,,"He was crying when we got the otter unboxed and as soon as we touched his belly, LO was distracted and quite. Really like the white noise, light, and how soft he is despite having the electronics in the belly. I only wish you could access the controls with bluetooth bc the velcro is loud."
1434,5,en,Verified,United States,6/3/2021,,Very nice addition to the nursery. This is soothing and cuddly. Baby / toddler likes it. Great baby shower gift.
1435,5,en,Verified,United States,13/10/2020,,"My newborn grandson finds this toy very soothing. A choice of music and other sounds, and the cuddly soft fur, helps to calm. Would recommend to parents and grandparents."
1436,4,en,Verified,United States,8/2/2020,,"This little guy is so adorable.  The only issue I have is that it is hard to figure out how to get it to work. There is a tiny hard-to-clip that needs to be turned.  There was nothing in the paperwork that mentioned this detail. Otherwise, once we got it working, it was great. Our grandson especially loves the heartbeat swooshing sound."
1437,5,en,Verified,United States,31/01/2021,,"My baby loves it, very soothing to her which is fantastic to me; because it helps her fall asleep. Thank you!"
1438,4,en,Verified,United States,9/11/2020,,"Looks cute! But when it is “breathing”, it is really noisy. Didn’t work well on by baby unfortunately."
1439,5,en,Verified,United States,31/12/2019,,"soft and cuddly .wonderful music, soothing ! I bought it for myself. I am 76 years old."
1440,5,en,Verified,United States,13/09/2020,,"This is absolutely adorable! My grand babies love it!! Great music and the fact that you can turn each function on, off, up, or down is great!"
1441,5,en,Verified,United States,18/10/2020,,It's so worth it. God yes!!! 😭😭😭😍😍😍 my son is sleeping so well and we just got it this morning.
1442,5,en,Verified,United States,19/01/2021,,"It has a bunch of different sounds! The chest moves nicely, it definitely helps my daughter sleep!"
1443,3,en,Verified,United States,11/11/2019,1,I LOVED this at first. Then after a few weeks it became very sensitive. I have changed the batteries multiple times so it's not an issue with having dead or dying batteries. Any time tummy part is touched it shuts off. Very frustrating. I love the light up feature. Wish it stayed on. Waste of money. Maybe I have a defective one ?
1444,4,en,Verified,United States,28/10/2019,,Super cute but a bit harder than I was expecting.  This was due to the mechanism inside but not as cozy and cuddly as my daughter wanted.
1445,1,en,Verified,United States,26/05/2020,1,Terrible. Waste of money. It is huge for a child. It is super hard in the middle and not cuddly at all!!!
1446,5,en,Verified,United States,18/06/2020,,I love this and hope my granddaughter does as well. Can’t wait to give it to her.
1447,5,en,Verified,United States,13/09/2019,,"This thing is sooo cute, really soft, and I love how it ""breathes"". Definitely worth it!"
1448,5,en,Verified,United States,27/11/2019,,An excellently made product that’s just adorable. Songs are well done and the heartbeat application is wonderful.
1449,5,en,Verified,United States,2/11/2019,,This really helps babies calm down.  Good size and quality!
1450,5,en,Verified,United States,20/02/2021,," Too cute! Exactly what we wanted, came before the delivery date!Very excited to see how our baby likes it when she gets here. :)"
1451,5,en,Verified,United States,2/3/2020,,Bought this for my 1 year old son and he loved it before I even got it out of the box. It comes with all instructions you will ever need and helps soothe like no other. Best thing I’ve bought for him yet. I strongly recommend this product.
1452,5,en,Verified,United States,11/6/2020,,My 6 month old has been sleeping (Safely) with this since a month old. He loves it
1453,2,en,Verified,United States,24/02/2020,,My baby does not like it. Maybe when she gets older.
1454,1,en,Verified,United States,28/02/2021,,"Like many other reviews, the item shuts itself off almost immediately each time after using only a few times."
1455,5,en,Verified,United States,8/1/2020,,It was on the mother to be's registry and she loves it so...
1456,5,en,Verified,United States,15/12/2019,,"Very cute toy! This helped my new granddaughter calm down many times. Does not have a mechanical noise, it really sounds like breathing, womb and heartbeat. Would recommend"
1457,5,en,Verified,United States,2/12/2019,,This is worth every penny! We play with it all the time!
1459,5,en,Verified,United States,22/05/2020,,Super soft and I love that it has volume control! My 1 month old loves it.
1460,5,en,Verified,United States,5/2/2021,,Soft; i like the music it plays.
1461,5,en,Verified,United States,16/09/2020,,My son is almost 2 years old and we still love our little “Harry Otter”  It has helped him sleep so well! It’s now to the point that if my son wakes up in the middle of the night he will push the belly and turn on the light/ sound.  Worth every penny 💕
1462,5,en,Verified,United States,14/11/2019,,Given as gift.  Recipient loved it.  Very soothing.
1463,5,en,Verified,United States,11/7/2020,,Cutest product and baby sleep aid out there!
1464,5,en,Verified,United States,29/01/2020,,The sweetest gift! The belly actually rises up and down as if it were breathing
1465,4,en,Verified,United States,12/1/2021,,Cute and has several different features.
1466,5,en,Verified,United States,4/3/2020,,My daughter loves this thing.  The music is soothing and she loves touching the tummy where the light is
1467,2,en,Verified,United States,30/01/2021,,"My 9 month old baby loves this toy but it turns itself off instantly when the ""breathing"" feature is on. So frustrating!!!"
1468,2,en,Verified,United States,26/11/2020,,"Cute weird toy! IMO overpricedReturn it, my daughter doesn’t like this otter"
1469,5,en,Verified,United States,15/07/2020,,My granddaughter slept so peacefully with the white noise I bought this for three other babies. Even the heartbeat was good for a new puppy’s crate sleep. I love this otter!
1470,5,en,Verified,United States,30/08/2019,, So adorable baby and I both love it. 2 month old smiles and babbles to the otter. Lullabies put him to sleep and keeps him asleep. Only con the Velcro on the back is so loud
1472,5,en,Verified,United States,17/09/2020,1,I use it to put my baby to sleep and it works like a charm every time. It even puts me to sleep. Best money I ever spent!
1473,5,en,Verified,United States,27/09/2020,,Bought for my new grandson and my daughter loves it. Helps putting him to sleep.
1474,2,en,Verified,United States,15/11/2019,,This thing was amazing! It was the only way o could keep my son in his crib. However it only last a month. Now the thing won't stay on even after changing the battery.
1475,5,en,Verified,United States,27/06/2019,2,This is the cutest little stuffed animal for a little one.
1476,4,en,Verified,United States,1/3/2021,,This toy is recommended for young babies. Actually my newborn baby doesn’t like it but my 10 years old daughter hugs it for sleeping every night.
1477,5,en,Verified,United States,30/09/2019,,Gift
1478,4,en,Verified,United States,20/01/2020,,It’s cute but I don’t like that the buttons are easily accessible to my toddler
1479,5,en,Verified,United States,12/1/2020,,Super sweet. Very soft. Very soothing and calming.
1480,5,en,Verified,United States,14/05/2020,,Very soft
1481,1,en,Verified,United States,12/2/2020,1,Product didn’t work.  Couldn’t turn off the demo button. And the instructions don’t mention the demo button!
1482,5,en,Verified,United States,10/1/2020,,Super cute little otter. I don’t think it helped my daughter sleep any better but she loves him
1483,5,en,Verified,United States,25/02/2020,,Granddaughter loves it !
1484,5,en,Verified,United States,25/10/2020,,Used for our 2 year old son who has trouble falling asleep on his own. Comforting and soft. Helped ease the transition from mom or dad laying with him until he falls asleep.
1485,5,en,Verified,United States,4/1/2020,,Worth every penny
1486,1,en,Verified,United States,29/12/2019,1,"worst damn thing i ever ordered, it only worked for couple days then stopped altogether, i changed the battery’s an still no difference. the part that goes in an out stopped working completely."
1487,5,en,Verified,United States,21/01/2020,,"Great item for my new grandson.  He was a preemie, and he loves it."
1488,5,en,Verified,United States,14/12/2019,,My 7 month old loves bedtime with Mr. Sea otter! The breathing setting always makes him fall asleep.
1489,5,en,Verified,United States,3/11/2019,,Beautiful ♡ l0ve the soothing sounds and stomach up and down.
1490,5,en,Verified,United States,6/7/2020,, I love it it’s really coming
1491,5,en,Verified,United States,10/1/2020,,Such a cute baby toy! Put my nephew to sleep within minutes! I say that's a win
1492,5,en,Verified,United States,2/1/2020,,Great toy.
1493,4,en,Verified,United States,18/02/2021,,Baby loves this. We have in the the bedroom with him every night.
1494,5,en,Verified,United States,16/12/2019,1,Perfect for baby to hold when trying to get them to sleep. Love this!!
1495,5,en,Verified,United States,15/10/2020,,"Very cute item, perfect for a newborn, however thought it could've been priced a little cheaper."
1496,5,en,Verified,United States,6/4/2020,,Gave for a shower gift
1497,5,en,Verified,United States,7/11/2020,,"Absolutely love this little critter! It's super soft and baby loves it, worth every penny! And it's adorable!"
1498,5,en,Verified,United States,28/12/2019,,It was an otter which made it original and it was so soft n cuddly it was purchased for a baby shower gift an it was a hit with everyone we all Loved it...... I highly recommend it .....
1499,5,en,Verified,United States,25/10/2019,,This is adorable.
1500,5,en,Verified,United States,9/11/2020,,It is so sweet and irresistible.
1501,5,en,Verified,United States,30/09/2019,,Baby loves it.
1502,4,en,Verified,United States,18/12/2019,,The batteries do not last long.
1503,4,en,Verified,United States,21/01/2020,,A little pricey for a baby toy. But our baby likes the noise and soft light. Helps keep baby asleep in our noisey house.
1504,1,en,Verified,United States,18/07/2020,1,Soon there will be no electricity
1505,5,en,Verified,United States,29/10/2019,,Too cute... Got for my new granddaughter.
1506,5,en,Verified,United States,26/02/2020,,I like the price
1507,5,en,Verified,United States,9/12/2019,,"Baby loves it, falls asleep immediately"
1508,5,en,Verified,United States,31/01/2020,,My little Grandson loves to cuddle.
1509,5,en,Verified,United States,10/3/2020,,"My first newborn will love this, an awesome idea for the little ones."
1510,2,en,Verified,United States,4/3/2021,,Two months and it’s already broken. My kid barley used it and it still broke after less than two months
1511,1,en,Verified,United States,9/3/2020,1,Only works for seconds at a time. Terrible
1512,5,en,Verified,United States,23/02/2021,,3 month old loves it.
1513,5,en,Verified,United States,7/1/2021,,Great product my nephew loves it!
1514,5,en,Verified,United States,18/12/2019,,Perfect for my baby cute an cuddly for relaxing an bed time
1515,5,en,Verified,United States,5/2/2021,,"Very cute, great sound options."
1516,2,en,Verified,United States,14/03/2020,,Very quiet and makes a popping noise
1517,5,en,Verified,United States,16/12/2020,,Have not tried it yet as it is a Xmas gift!
1518,5,en,Verified,United States,23/10/2019,,Love it
1519,4,en,Verified,United States,26/12/2019,,Great
1520,5,en,Verified,United States,3/1/2020,,My little guy just loves this...
1521,5,en,Verified,United States,30/12/2020,,It is very cute.
1523,5,en,Verified,United States,18/08/2019,,Perfect my daughter her love
1524,5,en,Verified,United States,21/08/2019,,Calms our baby down
1525,5,en,Verified,United States,14/03/2020,,Was a baby shower gift
